id,feature_2
564,54112.662112212536
565,54119.462700780816
566,54126.263289349095
567,54133.06387791738
568,54139.86446648566
569,54146.66505505394
570,54153.46564362222
571,54160.26623219051
572,54167.06682075879
573,54173.867409327075
574,54180.667997895354
575,54187.468586463634
576,54194.26917503192
577,54201.0697636002
578,54207.87035216848
579,54214.67094073676
580,54221.47152930504
581,54228.272117873326
582,54235.072706441606
583,54241.873295009886
584,54248.673883578165
585,54255.474472146445
586,54262.27506071473
587,54269.07564928301
588,54275.87623785129
589,54282.67682641957
590,54289.47741498786
591,54296.27800355614
592,54303.07859212442
593,54309.8791806927
594,54316.679769260976
595,54323.48035782926
596,54330.28094639754
597,54337.08153496582
598,54343.8821235341
599,54350.68271210239
600,54357.48330067067
601,54364.28388923895
602,54371.08447780723
603,54377.88506637551
604,54384.685654943794
605,54391.48624351208
606,54398.28683208036
607,54405.08742064864
608,54411.88800921692
609,54418.68859778521
610,54425.48918635349
611,54432.28977492177
612,54439.090363490046
613,54445.890952058326
614,54452.69154062661
615,54459.49212919489
616,54466.29271776317
617,54473.09330633145
618,54479.89389489974
619,54486.69448346802
620,54493.4950720363
621,54500.29566060458
622,54507.09624917286
623,54513.896837741144
624,54520.69742630942
625,54527.4980148777
626,54534.29860344598
627,54541.09919201427
628,54547.89978058255
629,54554.70036915083
630,54561.50095771911
631,54568.30154628739
632,54575.102134855675
633,54581.902723423955
634,54588.703311992234
635,54595.503900560514
636,54602.3044891288
637,54609.10507769708
638,54615.90566626536
639,54622.70625483364
640,54629.50684340192
641,54636.30743197021
642,54643.108020538486
643,54649.908609106766
644,54656.709197675045
645,54663.50978624333
646,54670.31037481161
647,54677.11096337989
648,54683.91155194817
649,54690.71214051645
650,54697.51272908474
651,54704.31331765302
652,54711.1139062213
653,54717.91449478958
654,54724.715083357856
655,54731.51567192614
656,54738.31626049442
657,54745.1168490627
658,54751.91743763098
659,54758.71802619927
660,54765.518614767556
661,54772.31920333584
662,54779.11979190412
663,54785.9203804724
664,54792.72096904068
665,54799.52155760897
666,54806.32214617725
667,54813.12273474553
668,54819.92332331381
669,54826.72391188209
670,54833.524500450374
671,54840.325089018654
672,54847.12567758693
673,54853.92626615521
674,54860.7268547235
675,54867.52744329178
676,54874.32803186006
677,54881.12862042834
678,54887.92920899662
679,54894.729797564905
680,54901.530386133185
681,54908.330974701465
682,54915.131563269744
683,54921.93215183803
684,54928.73274040631
685,54935.53332897459
686,54942.33391754287
687,54949.13450611115
688,54955.93509467944
689,54962.735683247716
690,54969.536271815996
691,54976.336860384275
692,54983.137448952555
693,54989.93803752084
694,54996.73862608912
695,55003.5392146574
696,55010.33980322568
697,55017.14039179397
698,55023.94098036225
699,55030.74156893053
700,55037.54215749881
701,55044.34274606709
702,55051.14333463537
703,55057.94392320365
704,55064.74451177193
705,55071.54510034021
706,55078.3456889085
707,55085.14627747678
708,55091.94686604506
709,55098.74745461334
710,55105.54804318162
711,55112.348631749905
712,55119.149220318184
713,55125.949808886464
714,55132.75039745474
715,55139.55098602303
716,55146.35157459131
717,55153.15216315959
718,55159.95275172787
719,55166.75334029615
720,55173.553928864436
721,55180.354517432716
722,55187.155106000995
723,55193.955694569275
724,55200.75628313756
725,55207.55687170585
726,55214.357460274136
727,55221.158048842415
728,55227.958637410695
729,55234.759225978974
730,55241.55981454726
731,55248.36040311554
732,55255.16099168382
733,55261.9615802521
734,55268.76216882038
735,55275.56275738867
736,55282.36334595695
737,55289.163934525226
738,55295.964523093506
739,55302.765111661785
740,55309.56570023007
741,55316.36628879835
742,55323.16687736663
743,55329.96746593491
744,55336.7680545032
745,55343.56864307148
746,55350.36923163976
747,55357.16982020804
748,55363.97040877632
749,55370.7709973446
750,55377.57158591288
751,55384.37217448116
752,55391.17276304944
753,55397.97335161773
754,55404.77394018601
755,55411.57452875429
756,55418.37511732257
757,55425.17570589085
758,55431.976294459135
759,55438.776883027414
760,55445.577471595694
761,55452.378060163974
762,55459.17864873226
763,55465.97923730054
764,55472.77982586882
765,55479.5804144371
766,55486.38100300538
767,55493.181591573666
768,55499.982180141946
769,55506.782768710225
770,55513.583357278505
771,55520.38394584679
772,55527.18453441507
773,55533.98512298335
774,55540.78571155163
775,55547.58630011991
776,55554.3868886882
777,55561.18747725648
778,55567.98806582476
779,55574.788654393036
780,55581.589242961316
781,55588.3898315296
782,55595.19042009788
783,55601.99100866616
784,55608.79159723444
785,55615.59218580273
786,55622.39277437101
787,55629.19336293929
788,55635.99395150757
789,55642.79454007585
790,55649.595128644134
791,55656.395717212414
792,55663.19630578069
793,55669.99689434897
794,55676.79748291726
795,55683.59807148554
796,55690.39866005382
797,55697.1992486221
798,55703.99983719039
799,55710.80042575867
800,55717.60101432696
801,55724.40160289524
802,55731.20219146352
803,55738.0027800318
804,55744.80336860008
805,55751.603957168365
806,55758.404545736645
807,55765.205134304924
808,55772.005722873204
809,55778.80631144149
810,55785.60690000977
811,55792.40748857805
812,55799.20807714633
813,55806.00866571461
814,55812.809254282896
815,55819.609842851176
816,55826.410431419456
817,55833.211019987735
818,55840.01160855602
819,55846.8121971243
820,55853.61278569258
821,55860.41337426086
822,55867.21396282914
823,55874.01455139743
824,55880.81513996571
825,55887.61572853399
826,55894.41631710227
827,55901.216905670546
828,55908.01749423883
829,55914.81808280711
830,55921.61867137539
831,55928.41925994367
832,55935.21984851196
833,55942.02043708024
834,55948.82102564852
835,55955.6216142168
836,55962.42220278508
837,55969.222791353364
838,55976.023379921644
839,55982.82396848992
840,55989.6245570582
841,55996.42514562649
842,56003.22573419477
843,56010.02632276305
844,56016.82691133133
845,56023.62749989961
846,56030.428088467896
847,56037.228677036175
848,56044.029265604455
849,56050.829854172734
850,56057.63044274102
851,56064.4310313093
852,56071.23161987758
853,56078.03220844586
854,56084.83279701414
855,56091.63338558243
856,56098.43397415071
857,56105.234562718986
858,56112.035151287266
859,56118.83573985555
860,56125.63632842383
861,56132.43691699211
862,56139.23750556039
863,56146.03809412867
864,56152.83868269696
865,56159.63927126524
866,56166.43985983352
867,56173.24044840181
868,56180.04103697009
869,56186.84162553837
870,56193.64221410666
871,56200.44280267494
872,56207.24339124322
873,56214.0439798115
874,56220.844568379776
875,56227.64515694806
876,56234.44574551634
877,56241.24633408462
878,56248.0469226529
879,56254.84751122119
880,56261.64809978947
881,56268.44868835775
882,56275.24927692603
883,56282.04986549431
884,56288.850454062595
885,56295.651042630874
886,56302.451631199154
887,56309.25221976743
888,56316.05280833572
889,56322.853396904
890,56329.65398547228
891,56336.45457404056
892,56343.25516260884
893,56350.055751177126
894,56356.856339745405
895,56363.656928313685
896,56370.457516881965
897,56377.25810545025
898,56384.05869401853
899,56390.85928258681
900,56397.65987115509
901,56404.46045972337
902,56411.26104829166
903,56418.06163685994
904,56424.862225428216
905,56431.662813996496
906,56438.46340256478
907,56445.26399113306
908,56452.06457970134
909,56458.86516826962
910,56465.6657568379
911,56472.46634540619
912,56479.26693397447
913,56486.06752254275
914,56492.86811111103
915,56499.66869967931
916,56506.469288247594
